"Source:","Z:\proj\glasgow-can\attie\hardware\glasgow-can\glasgow-can.sch"
"Date:","20/12/2020 12:08:45 AM"
"Tool:","Eeschema (5.1.8)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","46"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MFG","MFR","MPN"
"","","C1","100n","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","",""
"","","C2","4.7u","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","~","","",""
"","","C3","100n","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","",""
"","","C4","4.7u","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","~","","",""
"","","D1","PESD2CAN","Device:D_TVS_x2_AAC","rhais_package-smd:SOT-23","~","","Nexperia","PESD2CAN"
"","","D2","TJ-S1005SW4TGLC0A-A5","Device:LED_Small","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~","","TOGIALED","TJ-S1005SW4TGLC0A-A5"
"","","D3","TJ-S1005SW4TGLC2G-A5","Device:LED_Small","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~","","TOGIALED","TJ-S1005SW4TGLC2G-A5"
"","","D4","TJ-S1005SW4TGLC0A-A5","Device:LED_Small","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~","","TOGIALED","TJ-S1005SW4TGLC0A-A5"
"","","D5","PESD2CAN","Device:D_TVS_x2_AAC","rhais_package-smd:SOT-23","~","","Nexperia","PESD2CAN"
"","","D6","TJ-S1005SW4TGLC0A-A5","Device:LED_Small","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~","","TOGIALED","TJ-S1005SW4TGLC0A-A5"
"","","D7","TJ-S1005SW4TGLC2G-A5","Device:LED_Small","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~","","TOGIALED","TJ-S1005SW4TGLC2G-A5"
"","","D8","TJ-S1005SW4TGLC0A-A5","Device:LED_Small","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~","","TOGIALED","TJ-S1005SW4TGLC0A-A5"
"","","H1","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","",""
"","","H2","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","",""
